loc_id : 80601 | plant_code : 2048 | R2 : 0.4079 | date_att: 2018-11-08
loc_id : 28646 | plant_code : 55306 | R2 : 0.0428 | date_att: 2018-11-08
loc_id : 24299 | plant_code : 2068 | R2 : 0.0705 | date_att: 2018-11-08
loc_id : 24300 | plant_code : 2070 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 83858 | plant_code : 55327 | R2 : 0.1342 | date_att: 2018-11-08
loc_id : 84290;86398 | plant_code : 2092 | R2 : 0.2308 | date_att: 2018-11-08
loc_id : 423616;84429 | plant_code : 6190 | R2 : 0.3600 | date_att: 2018-11-08
loc_id : 83149;83183 | plant_code : 47 | R2 : 0.1225 | date_att: 2018-11-08
loc_id : 30662;62591 | plant_code : 54 | R2 : 0.3831 | date_att: 2018-11-08
loc_id : 86329 | plant_code : 6223 | R2 : 0.2068 | date_att: 2018-11-08
loc_id : 83643 | plant_code : 55377 | R2 : 0.1749 | date_att: 2018-11-08
loc_id : 28272;447418 | plant_code : 55382 | R2 : 0.3631 | date_att: 2018-11-08
loc_id : 84896;410458 | plant_code : 55392 | R2 : 0.2872 | date_att: 2018-11-08
loc_id : 403851;403791 | plant_code : 55395 | R2 : 0.3751 | date_att: 2018-11-08
loc_id : 449738;30606 | plant_code : 55397 | R2 : 0.2672 | date_att: 2018-11-08
loc_id : 84220 | plant_code : 2150 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 432008;80756 | plant_code : 55406 | R2 : 0.2200 | date_att: 2018-11-08
loc_id : 28575 | plant_code : 117 | R2 : 0.3289 | date_att: 2018-11-08
loc_id : 32002;125348 | plant_code : 55415 | R2 : 0.2033 | date_att: 2018-11-08
loc_id : 407051;28379;425411 | plant_code : 120 | R2 : 0.1821 | date_att: 2018-11-08
loc_id : 84904;425985;29132 | plant_code : 55417 | R2 : 0.2286 | date_att: 2018-11-08
loc_id : 426505;23407 | plant_code : 55418 | R2 : 0.1682 | date_att: 2018-11-08
loc_id : 413872 | plant_code : 55419 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 28840 | plant_code : 126 | R2 : 0.4336 | date_att: 2018-11-08
