loc_id : (24275,) | plant_code : 2049 | R2 : 0.9957 | date_att: 2018-11-06
loc_id : (83395,) | plant_code : 2050 | R2 : 0.9896 | date_att: 2018-11-06
loc_id : (59976,) | plant_code : 55297 | R2 : 0.9628 | date_att: 2018-11-06
loc_id : (24274,) | plant_code : 2053 | R2 : 0.9930 | date_att: 2018-11-06
loc_id : (23951,) | plant_code : 55298 | R2 : 0.9059 | date_att: 2018-11-06
loc_id : (80676,) | plant_code : 7 | R2 : 0.5583 | date_att: 2018-11-06
loc_id : (26999,) | plant_code : 55317 | R2 : 0.8187 | date_att: 2018-11-06
loc_id : (29017,) | plant_code : 55322 | R2 : 0.8596 | date_att: 2018-11-06
loc_id : (85960,) | plant_code : 2079 | R2 : 0.9975 | date_att: 2018-11-06
loc_id : (28663,) | plant_code : 55328 | R2 : 0.9931 | date_att: 2018-11-06
loc_id : (80732,) | plant_code : 55332 | R2 : 0.5820 | date_att: 2018-11-06
loc_id : (84890,) | plant_code : 55334 | R2 : 0.9874 | date_att: 2018-11-06
loc_id : (30566,) | plant_code : 55337 | R2 : 0.7789 | date_att: 2018-11-06
loc_id : (22552,) | plant_code : 55340 | R2 : 0.9939 | date_att: 2018-11-06
loc_id : (413864,) | plant_code : 51 | R2 : 0.5555 | date_att: 2018-11-06
loc_id : (28015,) | plant_code : 55349 | R2 : 0.8192 | date_att: 2018-11-06
loc_id : (427568,) | plant_code : 55350 | R2 : 0.9115 | date_att: 2018-11-06
loc_id : (30607,) | plant_code : 55358 | R2 : 0.9600 | date_att: 2018-11-06
loc_id : (26959,) | plant_code : 10307 | R2 : 0.9505 | date_att: 2018-11-06
loc_id : (82353,) | plant_code : 55364 | R2 : 0.9653 | date_att: 2018-11-06
loc_id : (28674,) | plant_code : 55372 | R2 : 0.9915 | date_att: 2018-11-06
loc_id : (83766,) | plant_code : 55380 | R2 : 0.9890 | date_att: 2018-11-06
loc_id : (404821,) | plant_code : 55386 | R2 : 0.8326 | date_att: 2018-11-06
loc_id : (84220,) | plant_code : 2150 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (125386,) | plant_code : 6246 | R2 : 0.6104 | date_att: 2018-11-06
loc_id : (30628,) | plant_code : 55401 | R2 : 0.7012 | date_att: 2018-11-06
loc_id : (82492,) | plant_code : 55405 | R2 : 0.9899 | date_att: 2018-11-06
loc_id : (59934,) | plant_code : 6253 | R2 : 0.7410 | date_att: 2018-11-06
loc_id : (80683,) | plant_code : 55409 | R2 : 0.9730 | date_att: 2018-11-06
loc_id : (87011,) | plant_code : 55411 | R2 : 0.9943 | date_att: 2018-11-06
loc_id : (31977,) | plant_code : 55412 | R2 : 0.9956 | date_att: 2018-11-06
loc_id : (407138,) | plant_code : 55422 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (23965,) | plant_code : 55439 | R2 : 0.9578 | date_att: 2018-11-06
loc_id : (62720,) | plant_code : 55451 | R2 : 0.9643 | date_att: 2018-11-06
loc_id : (23305,) | plant_code : 169 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (23270,) | plant_code : 170 | R2 : 0.9504 | date_att: 2018-11-06
loc_id : (29876,) | plant_code : 55482 | R2 : 0.9533 | date_att: 2018-11-06
loc_id : (146082,) | plant_code : 201 | R2 : 0.9969 | date_att: 2018-11-06
loc_id : (23316,) | plant_code : 202 | R2 : 0.9945 | date_att: 2018-11-06
loc_id : (23315,) | plant_code : 203 | R2 : 0.9970 | date_att: 2018-11-06
loc_id : (450294, 22550) | plant_code : 55501 | R2 : 0.8000 | date_att: 2018-11-06
loc_id : (30634,) | plant_code : 55503 | R2 : 0.8712 | date_att: 2018-11-06
loc_id : (29016,) | plant_code : 55514 | R2 : 0.9836 | date_att: 2018-11-06
loc_id : (30644,) | plant_code : 55516 | R2 : 0.9725 | date_att: 2018-11-06
loc_id : (27014,) | plant_code : 55517 | R2 : 0.7794 | date_att: 2018-11-06
loc_id : (29093,) | plant_code : 55518 | R2 : 0.9914 | date_att: 2018-11-06
loc_id : (59986,) | plant_code : 55640 | R2 : 0.8837 | date_att: 2018-11-06
loc_id : (60027,) | plant_code : 55641 | R2 : 0.9775 | date_att: 2018-11-06
loc_id : (446731,) | plant_code : 59764 | R2 : 0.9734 | date_att: 2018-11-06
loc_id : (80734,) | plant_code : 55672 | R2 : 0.9936 | date_att: 2018-11-06
loc_id : (447952,) | plant_code : 59773 | R2 : 0.9522 | date_att: 2018-11-06
