loc_id : 21300 | plant_code : 3526 | R2 : undefined | date_att: 2018-11-05
loc_id : 21415 | plant_code : 7843 | R2 : undefined | date_att: 2018-11-05
loc_id : 21423 | plant_code : 7887 | R2 : undefined | date_att: 2018-11-05
loc_id : (84109,) | plant_code : 1001 | R2 : undefined | date_att: None
loc_id : (84109,) | plant_code : 1001 | R2 : undefined | date_att: None
loc_id : (84109,) | plant_code : 1001 | R2 : undefined | date_att: None
loc_id : (84109,) | plant_code : 1001 | R2 : undefined | date_att: None
loc_id : (80601,) | plant_code : 2048 | R2 : undefined | date_att: None
loc_id : (24275,) | plant_code : 2049 | R2 : undefined | date_att: None
loc_id : (83395,) | plant_code : 2050 | R2 : undefined | date_att: None
loc_id : (404021,) | plant_code : 2051 | R2 : undefined | date_att: None
loc_id : (59976,) | plant_code : 55297 | R2 : undefined | date_att: None
loc_id : (24274,) | plant_code : 2053 | R2 : undefined | date_att: None
loc_id : (23951,) | plant_code : 55298 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
loc_id : (21344,) | plant_code : 55011 | R2 : undefined | date_att: None
